# Reverse Shock Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 B_eq (G) 	 Gamma_e 	 E_syn (keV) 	 Gamma_r 	 L_diss (erg/s) 	 nu_c (Hz) 	 nu_m (Hz) 	 shell_ind

904520 	 4.2921 	 4.54151 	 10.4415 	 2035.3 	 0.22749 	 315.568 	 6.61223e+47 	 7.1386e+19 	 1.21078e+14 	 178
912542 	 4.33237 	 4.5702 	 10.2495 	 1996.1 	 0.21506 	 315.968 	 6.50332e+47 	 7.45276e+19 	 1.14318e+14 	 179
920718 	 4.37332 	 4.59963 	 10.0594 	 1957.33 	 0.203206 	 316.363 	 6.39516e+47 	 7.78285e+19 	 1.07882e+14 	 180
928777 	 4.41419 	 4.69739 	 10.1304 	 2019.95 	 0.216603 	 314.421 	 6.56975e+47 	 7.30656e+19 	 1.15704e+14 	 181
936994 	 4.45575 	 4.72719 	 9.94262 	 1980.35 	 0.20459 	 314.811 	 6.45942e+47 	 7.63118e+19 	 1.09152e+14 	 182
945326 	 4.49789 	 4.82805 	 10.0072 	 2041.99 	 0.217599 	 312.888 	 6.63059e+47 	 7.17501e+19 	 1.16806e+14 	 183
953587 	 4.54008 	 4.85824 	 9.82444 	 2002.64 	 0.205725 	 313.274 	 6.52158e+47 	 7.48893e+19 	 1.10296e+14 	 184
961851 	 4.58254 	 4.96013 	 9.88622 	 2063.21 	 0.218402 	 311.381 	 6.6893e+47 	 7.05059e+19 	 1.17805e+14 	 185
970160 	 4.62539 	 4.99073 	 9.7062 	 2023.26 	 0.206455 	 311.762 	 6.57883e+47 	 7.35911e+19 	 1.11224e+14 	 186
978445 	 4.66843 	 5.0941 	 9.76504 	 2082.99 	 0.218834 	 309.898 	 6.74391e+47 	 6.93656e+19 	 1.18603e+14 	 187
986806 	 4.71196 	 5.12515 	 9.58702 	 2042.2 	 0.206764 	 310.275 	 6.63116e+47 	 7.24163e+19 	 1.11924e+14 	 188
995105 	 4.75558 	 5.22999 	 9.64393 	 2101.42 	 0.218925 	 308.438 	 6.79469e+47 	 6.83185e+19 	 1.19213e+14 	 189
1.00352e+06 	 4.79982 	 5.2615 	 9.46854 	 2060.09 	 0.206822 	 308.811 	 6.68064e+47 	 7.13235e+19 	 1.12487e+14 	 190
1.01195e+06 	 4.84438 	 5.36845 	 9.52118 	 2118.22 	 0.218585 	 307.001 	 6.84078e+47 	 6.73802e+19 	 1.19585e+14 	 191
1.02043e+06 	 4.88935 	 5.47682 	 9.57033 	 2176.14 	 0.230549 	 305.219 	 6.99931e+47 	 6.37475e+19 	 1.26867e+14 	 192
1.02881e+06 	 4.93431 	 5.5085 	 9.39919 	 2133.62 	 0.217925 	 305.587 	 6.88292e+47 	 6.65216e+19 	 1.19776e+14 	 193
1.03723e+06 	 4.97968 	 5.61761 	 9.44562 	 2190.15 	 0.229442 	 303.84 	 7.03742e+47 	 6.30243e+19 	 1.26831e+14 	 194
1.04567e+06 	 5.02541 	 5.64982 	 9.27722 	 2147.29 	 0.216876 	 304.203 	 6.92032e+47 	 6.57626e+19 	 1.19742e+14 	 195
1.05409e+06 	 5.07135 	 5.76033 	 9.32142 	 2202.84 	 0.228032 	 302.481 	 7.07188e+47 	 6.23676e+19 	 1.26618e+14 	 196
1.0626e+06 	 5.11788 	 5.79311 	 9.15601 	 2159.83 	 0.215579 	 302.84 	 6.95461e+47 	 6.50666e+19 	 1.19561e+14 	 197
1.07097e+06 	 5.16426 	 5.90478 	 9.19784 	 2214.06 	 0.226299 	 301.141 	 7.10221e+47 	 6.17784e+19 	 1.26215e+14 	 198
1.0794e+06 	 5.21114 	 6.01802 	 9.23781 	 2268.65 	 0.237302 	 299.466 	 7.25015e+47 	 5.87065e+19 	 1.33091e+14 	 199
1.08777e+06 	 5.25815 	 6.13176 	 9.27434 	 2322.24 	 0.248259 	 297.824 	 7.39436e+47 	 5.58833e+19 	 1.40004e+14 	 200
1.09619e+06 	 5.3056 	 6.16458 	 9.11365 	 2277.3 	 0.234885 	 298.177 	 7.27338e+47 	 5.82662e+19 	 1.32306e+14 	 201
1.10458e+06 	 5.35329 	 6.27949 	 9.14739 	 2329.47 	 0.245347 	 296.566 	 7.41365e+47 	 5.55343e+19 	 1.38949e+14 	 202
1.11308e+06 	 5.4016 	 6.31296 	 8.98974 	 2284.62 	 0.232196 	 296.914 	 7.29317e+47 	 5.78887e+19 	 1.31347e+14 	 203
1.12154e+06 	 5.45012 	 6.42969 	 9.02138 	 2335.85 	 0.242275 	 295.323 	 7.43081e+47 	 5.52207e+19 	 1.37787e+14 	 204
1.1297e+06 	 5.49802 	 6.54587 	 9.05409 	 2387.16 	 0.252602 	 293.752 	 7.56804e+47 	 5.27027e+19 	 1.44428e+14 	 205
1.13816e+06 	 5.54718 	 6.66465 	 9.08073 	 2437.34 	 0.262723 	 292.211 	 7.70133e+47 	 5.03946e+19 	 1.51008e+14 	 206
1.1466e+06 	 5.59658 	 6.69835 	 8.92682 	 2390.46 	 0.248722 	 292.554 	 7.57663e+47 	 5.25141e+19 	 1.42793e+14 	 207
1.15512e+06 	 5.64659 	 6.81855 	 8.95201 	 2439.86 	 0.258495 	 291.04 	 7.70809e+47 	 5.02523e+19 	 1.49175e+14 	 208
1.16365e+06 	 5.69694 	 6.85299 	 8.80021 	 2392.77 	 0.24468 	 291.377 	 7.58282e+47 	 5.23676e+19 	 1.41039e+14 	 209
1.17221e+06 	 5.7477 	 6.97481 	 8.8238 	 2441.11 	 0.254037 	 289.881 	 7.71136e+47 	 5.01498e+19 	 1.47189e+14 	 210
1.18082e+06 	 5.79899 	 7.09828 	 8.84466 	 2488.85 	 0.263346 	 288.403 	 7.83748e+47 	 4.80786e+19 	 1.53364e+14 	 211
1.18932e+06 	 5.85024 	 7.22186 	 8.86442 	 2536.07 	 0.272666 	 286.951 	 7.96172e+47 	 4.61373e+19 	 1.59595e+14 	 212
1.19782e+06 	 5.90186 	 7.25671 	 8.71732 	 2487.79 	 0.258327 	 287.283 	 7.83471e+47 	 4.80476e+19 	 1.51028e+14 	 213
1.20637e+06 	 5.95399 	 7.38171 	 8.73518 	 2533.79 	 0.267182 	 285.855 	 7.95578e+47 	 4.61501e+19 	 1.56985e+14 	 214
1.21483e+06 	 6.00619 	 7.50743 	 8.75189 	 2579.31 	 0.276029 	 284.444 	 8.07492e+47 	 4.43622e+19 	 1.62988e+14 	 215
1.22338e+06 	 6.05901 	 7.54295 	 8.60761 	 2530.2 	 0.261537 	 284.77 	 7.94623e+47 	 4.61925e+19 	 1.54254e+14 	 216
1.23187e+06 	 6.11201 	 7.66993 	 8.62274 	 2574.48 	 0.269926 	 283.381 	 8.06221e+47 	 4.44409e+19 	 1.59982e+14 	 217
1.24049e+06 	 6.16576 	 7.79892 	 8.63643 	 2618.9 	 0.278408 	 282.009 	 8.1782e+47 	 4.2779e+19 	 1.65812e+14 	 218
1.24909e+06 	 6.21984 	 7.83518 	 8.49499 	 2569.08 	 0.263829 	 282.329 	 8.04819e+47 	 4.45364e+19 	 1.56951e+14 	 219
1.25772e+06 	 6.2744 	 7.9654 	 8.50699 	 2612.09 	 0.271816 	 280.978 	 8.16052e+47 	 4.291e+19 	 1.6248e+14 	 220
1.26621e+06 	 6.32884 	 8.09596 	 8.51847 	 2654.61 	 0.279779 	 279.642 	 8.27095e+47 	 4.13695e+19 	 1.68039e+14 	 221
1.27487e+06 	 6.38424 	 8.13302 	 8.37951 	 2603.99 	 0.265116 	 279.957 	 8.1392e+47 	 4.30667e+19 	 1.59053e+14 	 222
1.28354e+06 	 6.44002 	 8.26581 	 8.38927 	 2645.65 	 0.272699 	 278.641 	 8.2477e+47 	 4.15488e+19 	 1.64375e+14 	 223
1.29229e+06 	 6.49648 	 8.40049 	 8.39699 	 2686.8 	 0.280191 	 277.34 	 8.35429e+47 	 4.01164e+19 	 1.69683e+14 	 224
1.30103e+06 	 6.55328 	 8.43843 	 8.26111 	 2635.83 	 0.265594 	 277.649 	 8.22219e+47 	 4.17506e+19 	 1.60664e+14 	 225
1.3096e+06 	 6.6099 	 8.573 	 8.26898 	 2675.75 	 0.272695 	 276.367 	 8.32568e+47 	 4.03348e+19 	 1.65725e+14 	 226
1.31837e+06 	 6.66761 	 8.71024 	 8.27412 	 2715.09 	 0.279657 	 275.098 	 8.4271e+47 	 3.90011e+19 	 1.7074e+14 	 227
1.32701e+06 	 6.72528 	 8.84752 	 8.27979 	 2754.59 	 0.286743 	 273.849 	 8.52897e+47 	 3.77225e+19 	 1.75865e+14 	 228
1.33579e+06 	 6.7838 	 8.88636 	 8.14649 	 2702 	 0.271757 	 274.152 	 8.39328e+47 	 3.92593e+19 	 1.6649e+14 	 229
1.34455e+06 	 6.84266 	 9.02548 	 8.15068 	 2740.35 	 0.278415 	 272.921 	 8.49234e+47 	 3.79996e+19 	 1.71338e+14 	 230
1.35316e+06 	 6.90145 	 9.16499 	 8.15374 	 2777.66 	 0.284877 	 271.702 	 8.58794e+47 	 3.68101e+19 	 1.76101e+14 	 231
1.36192e+06 	 6.96113 	 9.30635 	 8.15476 	 2814.43 	 0.291212 	 270.501 	 8.68187e+47 	 3.5687e+19 	 1.80816e+14 	 232
1.37062e+06 	 7.02104 	 9.44821 	 8.15525 	 2850.84 	 0.297508 	 269.319 	 8.77472e+47 	 3.46171e+19 	 1.85536e+14 	 233
1.37942e+06 	 7.08173 	 9.48808 	 8.02704 	 2797.5 	 0.282285 	 269.614 	 8.63874e+47 	 3.59981e+19 	 1.7585e+14 	 234
1.38826e+06 	 7.14297 	 9.63204 	 8.02602 	 2832.75 	 0.288155 	 268.448 	 8.72877e+47 	 3.49433e+19 	 1.80287e+14 	 235
1.39711e+06 	 7.20467 	 9.77742 	 8.02405 	 2867.57 	 0.293938 	 267.292 	 8.81728e+47 	 3.39368e+19 	 1.847e+14 	 236
1.40602e+06 	 7.26703 	 9.81846 	 7.8978 	 2813.59 	 0.278826 	 267.582 	 8.67972e+47 	 3.52937e+19 	 1.75014e+14 	 237
1.41492e+06 	 7.3298 	 9.96538 	 7.89522 	 2847.47 	 0.284272 	 266.442 	 8.76611e+47 	 3.42942e+19 	 1.79196e+14 	 238
1.42396e+06 	 7.39351 	 10.1147 	 7.89138 	 2881.17 	 0.289666 	 265.312 	 8.8518e+47 	 3.33379e+19 	 1.83374e+14 	 239
1.43289e+06 	 7.45726 	 10.2641 	 7.88671 	 2913.96 	 0.294877 	 264.198 	 8.93473e+47 	 3.2432e+19 	 1.8746e+14 	 240
1.44181e+06 	 7.52146 	 10.4144 	 7.88122 	 2946.25 	 0.299986 	 263.1 	 9.01624e+47 	 3.15685e+19 	 1.91504e+14 	 241
1.45058e+06 	 7.58557 	 10.5645 	 7.87561 	 2977.96 	 0.305 	 262.017 	 9.09607e+47 	 3.07433e+19 	 1.95509e+14 	 242
1.45949e+06 	 7.65066 	 10.7166 	 7.86782 	 3008.71 	 0.309757 	 260.949 	 9.17309e+47 	 2.99656e+19 	 1.99371e+14 	 243
1.46827e+06 	 7.71571 	 10.8686 	 7.86077 	 3039.55 	 0.314581 	 259.896 	 9.25047e+47 	 2.92118e+19 	 2.03296e+14 	 244
1.47709e+06 	 7.78141 	 11.0219 	 7.85201 	 3069.34 	 0.319138 	 258.857 	 9.32478e+47 	 2.85003e+19 	 2.07069e+14 	 245
1.48578e+06 	 7.84706 	 11.175 	 7.8428 	 3098.25 	 0.323511 	 257.832 	 9.39656e+47 	 2.78223e+19 	 2.10741e+14 	 246
1.49459e+06 	 7.91367 	 11.33 	 7.83239 	 3126.8 	 0.327773 	 256.82 	 9.46742e+47 	 2.71742e+19 	 2.14359e+14 	 247
1.50324e+06 	 7.98014 	 11.4847 	 7.82224 	 3154.9 	 0.331963 	 255.822 	 9.53705e+47 	 2.65502e+19 	 2.17946e+14 	 248
1.51202e+06 	 8.04758 	 11.6413 	 7.81025 	 3182.08 	 0.335889 	 254.837 	 9.60403e+47 	 2.596e+19 	 2.21377e+14 	 249
1.52088e+06 	 8.1158 	 11.6846 	 7.69394 	 3124.31 	 0.319323 	 255.109 	 9.46138e+47 	 2.69544e+19 	 2.10234e+14 	 250
1.52975e+06 	 8.18456 	 11.843 	 7.68102 	 3150.26 	 0.322867 	 254.134 	 9.52537e+47 	 2.63705e+19 	 2.13382e+14 	 251
1.53874e+06 	 8.25426 	 12.0039 	 7.66842 	 3176.95 	 0.326573 	 253.167 	 9.59156e+47 	 2.57954e+19 	 2.16656e+14 	 252
1.54775e+06 	 8.32453 	 12.0487 	 7.55309 	 3118.3 	 0.310222 	 253.434 	 9.44621e+47 	 2.67945e+19 	 2.05592e+14 	 253
1.55675e+06 	 8.3953 	 12.3291 	 7.63982 	 3227.55 	 0.333278 	 251.263 	 9.7159e+47 	 2.47279e+19 	 2.2278e+14 	 254
1.56572e+06 	 8.46645 	 12.4926 	 7.62449 	 3251.76 	 0.336365 	 250.331 	 9.77514e+47 	 2.42305e+19 	 2.2568e+14 	 255
1.57472e+06 	 8.53821 	 12.538 	 7.51191 	 3192.81 	 0.319828 	 250.594 	 9.63042e+47 	 2.51531e+19 	 2.1436e+14 	 256
1.58379e+06 	 8.61081 	 12.7036 	 7.49665 	 3216.6 	 0.322761 	 249.672 	 9.68908e+47 	 2.46517e+19 	 2.17124e+14 	 257
1.59295e+06 	 8.68424 	 12.7505 	 7.38446 	 3157.24 	 0.306622 	 249.931 	 9.54246e+47 	 2.56029e+19 	 2.06053e+14 	 258
1.60205e+06 	 8.758 	 13.04 	 7.46439 	 3262.91 	 0.328274 	 247.847 	 9.80256e+47 	 2.37009e+19 	 2.22459e+14 	 259
1.6112e+06 	 8.83252 	 13.0874 	 7.35421 	 3203.6 	 0.3121 	 248.103 	 9.65706e+47 	 2.4603e+19 	 2.1128e+14 	 260
1.62037e+06 	 8.90766 	 13.2574 	 7.33767 	 3225.62 	 0.314555 	 247.208 	 9.71124e+47 	 2.41384e+19 	 2.13713e+14 	 261
1.62964e+06 	 8.98371 	 13.4297 	 7.32002 	 3246.95 	 0.316816 	 246.318 	 9.76332e+47 	 2.36936e+19 	 2.16027e+14 	 262
1.63897e+06 	 9.06056 	 13.479 	 7.2112 	 3187.29 	 0.30105 	 246.57 	 9.61652e+47 	 2.46016e+19 	 2.05067e+14 	 263
1.64833e+06 	 9.13812 	 13.6533 	 7.1945 	 3208.89 	 0.30335 	 245.689 	 9.67006e+47 	 2.41447e+19 	 2.07374e+14 	 264
1.65769e+06 	 9.21624 	 13.8292 	 7.17676 	 3229.45 	 0.3054 	 244.814 	 9.7205e+47 	 2.37094e+19 	 2.09522e+14 	 265
1.66691e+06 	 9.29442 	 14.1324 	 7.24724 	 3329.95 	 0.325259 	 242.847 	 9.96627e+47 	 2.20472e+19 	 2.24954e+14 	 266
1.67626e+06 	 9.37365 	 14.1828 	 7.14054 	 3268.96 	 0.309153 	 243.094 	 9.81716e+47 	 2.28869e+19 	 2.13598e+14 	 267
1.68568e+06 	 9.45376 	 14.3616 	 7.12148 	 3288.18 	 0.310884 	 242.253 	 9.86435e+47 	 2.24999e+19 	 2.15539e+14 	 268
1.69516e+06 	 9.53474 	 14.5427 	 7.10107 	 3306.25 	 0.312328 	 241.416 	 9.90816e+47 	 2.2133e+19 	 2.17291e+14 	 269
1.70456e+06 	 9.616 	 14.724 	 7.08174 	 3324.85 	 0.313913 	 240.59 	 9.95375e+47 	 2.17685e+19 	 2.19144e+14 	 270
1.7139e+06 	 9.69758 	 14.9059 	 7.06111 	 3341.81 	 0.315125 	 239.772 	 9.99464e+47 	 2.14274e+19 	 2.2074e+14 	 271
1.72332e+06 	 9.78011 	 15.0894 	 7.04042 	 3358.87 	 0.316348 	 238.963 	 1.00361e+48 	 2.10941e+19 	 2.22347e+14 	 272
1.73281e+06 	 9.86358 	 15.2747 	 7.01959 	 3375.92 	 0.317554 	 238.162 	 1.00777e+48 	 2.07693e+19 	 2.23945e+14 	 273
1.74226e+06 	 9.94746 	 15.4606 	 6.99759 	 3391.46 	 0.318417 	 237.371 	 1.0115e+48 	 2.04647e+19 	 2.25303e+14 	 274
1.75178e+06 	 10.0323 	 15.6482 	 6.97542 	 3406.94 	 0.319256 	 236.587 	 1.01524e+48 	 2.0168e+19 	 2.26644e+14 	 275
1.76121e+06 	 10.1174 	 15.8361 	 6.95411 	 3422.72 	 0.320183 	 235.812 	 1.01909e+48 	 1.98739e+19 	 2.2805e+14 	 276
1.77072e+06 	 10.2035 	 16.0257 	 6.93163 	 3437.45 	 0.320854 	 235.045 	 1.02264e+48 	 1.95958e+19 	 2.29274e+14 	 277
1.7803e+06 	 10.2905 	 16.217 	 6.90811 	 3451.22 	 0.321291 	 234.285 	 1.02594e+48 	 1.93322e+19 	 2.3033e+14 	 278
1.78991e+06 	 10.3783 	 16.4097 	 6.8841 	 3464.37 	 0.321584 	 233.534 	 1.02907e+48 	 1.90792e+19 	 2.31282e+14 	 279
1.7996e+06 	 10.467 	 16.6041 	 6.8609 	 3478.39 	 0.322069 	 232.79 	 1.03249e+48 	 1.88247e+19 	 2.32371e+14 	 280
1.80874e+06 	 10.5542 	 17.0733 	 6.98553 	 3642.65 	 0.355545 	 230.151 	 1.07163e+48 	 1.68681e+19 	 2.59465e+14 	 281
1.81813e+06 	 10.643 	 17.2676 	 6.9597 	 3653.41 	 0.355236 	 229.446 	 1.07417e+48 	 1.6675e+19 	 2.60036e+14 	 282
1.82759e+06 	 10.7328 	 17.3231 	 6.8623 	 3588.9 	 0.338339 	 229.673 	 1.05887e+48 	 1.72839e+19 	 2.47423e+14 	 283
1.83698e+06 	 10.823 	 17.6605 	 6.90847 	 3674.85 	 0.354603 	 228.052 	 1.07925e+48 	 1.62985e+19 	 2.61159e+14 	 284
1.84644e+06 	 10.9142 	 17.8586 	 6.88171 	 3684.07 	 0.353938 	 227.367 	 1.0814e+48 	 1.61257e+19 	 2.61455e+14 	 285
1.85596e+06 	 11.0064 	 18.0584 	 6.85528 	 3693.63 	 0.353354 	 226.688 	 1.08367e+48 	 1.5954e+19 	 2.61805e+14 	 286
1.86537e+06 	 11.0987 	 18.4024 	 6.89683 	 3776.56 	 0.369079 	 225.128 	 1.10313e+48 	 1.5087e+19 	 2.75351e+14 	 287
1.8748e+06 	 11.1919 	 18.6037 	 6.86909 	 3784.22 	 0.368013 	 224.472 	 1.10491e+48 	 1.49419e+19 	 2.75358e+14 	 288
1.88428e+06 	 11.2859 	 18.6611 	 6.77474 	 3718.29 	 0.350765 	 224.692 	 1.08946e+48 	 1.54792e+19 	 2.62196e+14 	 289
1.8938e+06 	 11.3809 	 19.0114 	 6.81406 	 3799.68 	 0.365925 	 223.174 	 1.10857e+48 	 1.46574e+19 	 2.75388e+14 	 290
1.90334e+06 	 11.4767 	 19.0699 	 6.71974 	 3732.54 	 0.348561 	 223.392 	 1.09279e+48 	 1.51896e+19 	 2.62064e+14 	 291
1.91294e+06 	 11.5734 	 19.2764 	 6.69223 	 3739.48 	 0.347426 	 222.752 	 1.09444e+48 	 1.50501e+19 	 2.61962e+14 	 292
1.92252e+06 	 11.6709 	 19.4843 	 6.66474 	 3746.03 	 0.34622 	 222.114 	 1.09599e+48 	 1.49137e+19 	 2.61802e+14 	 293
1.93212e+06 	 11.7691 	 19.8437 	 6.70005 	 3823.74 	 0.360242 	 220.643 	 1.11413e+48 	 1.41522e+19 	 2.74221e+14 	 294
1.94178e+06 	 11.8684 	 20.0549 	 6.67098 	 3828.65 	 0.358594 	 220.026 	 1.11527e+48 	 1.40376e+19 	 2.73732e+14 	 295
1.95141e+06 	 11.9684 	 20.2669 	 6.64206 	 3833.27 	 0.356907 	 219.414 	 1.11635e+48 	 1.39257e+19 	 2.73204e+14 	 296
1.96111e+06 	 12.0693 	 20.4807 	 6.61343 	 3838.15 	 0.355289 	 218.807 	 1.11752e+48 	 1.38143e+19 	 2.7272e+14 	 297
1.97086e+06 	 12.1714 	 20.6963 	 6.5838 	 3841.77 	 0.353389 	 218.205 	 1.11834e+48 	 1.37116e+19 	 2.7201e+14 	 298
1.98056e+06 	 12.2739 	 20.9124 	 6.55469 	 3845.43 	 0.351534 	 217.609 	 1.11921e+48 	 1.36094e+19 	 2.71324e+14 	 299
1.99022e+06 	 12.3771 	 21.2845 	 6.5853 	 3919.38 	 0.364553 	 216.223 	 1.13637e+48 	 1.29553e+19 	 2.83175e+14 	 300
1.99991e+06 	 12.4812 	 21.503 	 6.55479 	 3921.05 	 0.362203 	 215.645 	 1.13672e+48 	 1.28715e+19 	 2.82104e+14 	 301
2.00966e+06 	 12.5863 	 21.7232 	 6.52478 	 3923.21 	 0.359981 	 215.071 	 1.13724e+48 	 1.27866e+19 	 2.81122e+14 	 302
2.01944e+06 	 12.6925 	 21.945 	 6.49435 	 3924.63 	 0.357612 	 214.502 	 1.13756e+48 	 1.27064e+19 	 2.80013e+14 	 303
2.02928e+06 	 12.7997 	 22.1686 	 6.46366 	 3925.6 	 0.355161 	 213.937 	 1.13778e+48 	 1.26296e+19 	 2.78828e+14 	 304
2.03918e+06 	 12.9081 	 22.3939 	 6.43284 	 3926.28 	 0.352664 	 213.376 	 1.13793e+48 	 1.25555e+19 	 2.77595e+14 	 305
2.04909e+06 	 13.0174 	 22.6206 	 6.40275 	 3927.55 	 0.350325 	 212.82 	 1.13826e+48 	 1.24794e+19 	 2.76475e+14 	 306
2.05907e+06 	 13.1278 	 22.8491 	 6.37135 	 3927.07 	 0.347617 	 212.268 	 1.13811e+48 	 1.24127e+19 	 2.75052e+14 	 307
2.06909e+06 	 13.2393 	 23.0794 	 6.34016 	 3926.67 	 0.344951 	 211.72 	 1.138e+48 	 1.23467e+19 	 2.73649e+14 	 308
2.07912e+06 	 13.3517 	 23.311 	 6.30907 	 3926.06 	 0.342272 	 211.175 	 1.13785e+48 	 1.22824e+19 	 2.72223e+14 	 309
2.08921e+06 	 13.4653 	 23.5444 	 6.27871 	 3926.19 	 0.339777 	 210.635 	 1.13794e+48 	 1.22156e+19 	 2.70932e+14 	 310
2.09936e+06 	 13.58 	 23.7796 	 6.24743 	 3925 	 0.337019 	 210.099 	 1.13766e+48 	 1.2156e+19 	 2.69418e+14 	 311
2.10936e+06 	 13.695 	 24.1806 	 6.2696 	 3990.69 	 0.347544 	 208.846 	 1.1528e+48 	 1.16318e+19 	 2.795e+14 	 312
2.11949e+06 	 13.8114 	 24.4183 	 6.23794 	 3988.52 	 0.344552 	 208.325 	 1.15231e+48 	 1.1581e+19 	 2.77786e+14 	 313
2.12946e+06 	 13.928 	 24.8234 	 6.25805 	 4052.13 	 0.354684 	 207.104 	 1.16687e+48 	 1.10984e+19 	 2.87641e+14 	 314
2.13956e+06 	 14.0461 	 25.0635 	 6.22599 	 4048.84 	 0.351434 	 206.598 	 1.16613e+48 	 1.10559e+19 	 2.85703e+14 	 315
2.14971e+06 	 14.1654 	 25.3054 	 6.19379 	 4045.18 	 0.348136 	 206.095 	 1.16529e+48 	 1.10156e+19 	 2.83713e+14 	 316
2.15992e+06 	 14.2859 	 25.5491 	 6.16118 	 4040.79 	 0.344715 	 205.596 	 1.16426e+48 	 1.09789e+19 	 2.81607e+14 	 317
2.17017e+06 	 14.4076 	 25.7948 	 6.12878 	 4036.48 	 0.341346 	 205.1 	 1.16327e+48 	 1.09425e+19 	 2.79529e+14 	 318
2.18049e+06 	 14.5306 	 26.0423 	 6.09666 	 4032.34 	 0.338046 	 204.607 	 1.16235e+48 	 1.0906e+19 	 2.77493e+14 	 319
2.19085e+06 	 14.6548 	 26.2917 	 6.06379 	 4026.99 	 0.334529 	 204.118 	 1.16109e+48 	 1.0875e+19 	 2.75265e+14 	 320
2.20122e+06 	 14.78 	 26.7172 	 6.07976 	 4086.65 	 0.343471 	 202.965 	 1.17473e+48 	 1.04487e+19 	 2.84228e+14 	 321
2.21159e+06 	 14.9062 	 26.9695 	 6.04709 	 4081.02 	 0.339886 	 202.488 	 1.17346e+48 	 1.04212e+19 	 2.81923e+14 	 322
2.22199e+06 	 15.0335 	 27.2233 	 6.01407 	 4074.61 	 0.336182 	 202.015 	 1.17199e+48 	 1.03971e+19 	 2.79503e+14 	 323
2.23244e+06 	 15.1621 	 27.4792 	 5.98119 	 4068.18 	 0.332513 	 201.545 	 1.17051e+48 	 1.03737e+19 	 2.77098e+14 	 324
2.24294e+06 	 15.2921 	 27.7369 	 5.94857 	 4061.89 	 0.328913 	 201.077 	 1.16909e+48 	 1.03501e+19 	 2.74735e+14 	 325
2.25335e+06 	 15.4225 	 28.3539 	 6.00763 	 4181.49 	 0.348983 	 199.339 	 1.19629e+48 	 9.61534e+18 	 2.94043e+14 	 326
2.26381e+06 	 15.5542 	 28.6142 	 5.97395 	 4173.17 	 0.34487 	 198.89 	 1.1944e+48 	 9.60182e+18 	 2.91233e+14 	 327
2.27431e+06 	 15.6872 	 28.8764 	 5.94058 	 4165.07 	 0.340847 	 198.443 	 1.19258e+48 	 9.58798e+18 	 2.88483e+14 	 328
2.28475e+06 	 15.8209 	 29.3217 	 5.95143 	 4218.78 	 0.348459 	 197.382 	 1.20471e+48 	 9.24822e+18 	 2.96511e+14 	 329
2.29508e+06 	 15.955 	 29.768 	 5.96182 	 4271.86 	 0.356015 	 196.339 	 1.21667e+48 	 8.92618e+18 	 3.0455e+14 	 330
2.3055e+06 	 16.0908 	 30.0337 	 5.92761 	 4261.44 	 0.351482 	 195.912 	 1.21431e+48 	 8.92163e+18 	 3.01327e+14 	 331
2.31599e+06 	 16.2279 	 30.3014 	 5.89361 	 4251.09 	 0.347016 	 195.488 	 1.21198e+48 	 8.91725e+18 	 2.98144e+14 	 332
2.32652e+06 	 16.3664 	 30.5712 	 5.85967 	 4240.59 	 0.342576 	 195.066 	 1.20962e+48 	 8.91367e+18 	 2.94966e+14 	 333
2.33702e+06 	 16.5059 	 31.0293 	 5.86792 	 4291.02 	 0.349448 	 194.057 	 1.22095e+48 	 8.61595e+18 	 3.02448e+14 	 334
2.34756e+06 	 16.6466 	 31.4906 	 5.87549 	 4340.99 	 0.356265 	 193.064 	 1.23217e+48 	 8.33308e+18 	 3.09933e+14 	 335
2.35815e+06 	 16.7887 	 31.7656 	 5.84079 	 4328.64 	 0.351409 	 192.66 	 1.22939e+48 	 8.3363e+18 	 3.06351e+14 	 336
2.36872e+06 	 16.9319 	 32.2322 	 5.84734 	 4377.33 	 0.357949 	 191.688 	 1.24029e+48 	 8.06947e+18 	 3.13634e+14 	 337
2.37919e+06 	 17.0756 	 32.7001 	 5.85262 	 4424.08 	 0.36414 	 190.732 	 1.25066e+48 	 7.81899e+18 	 3.20658e+14 	 338
2.38973e+06 	 17.2208 	 32.979 	 5.81801 	 4410.73 	 0.359072 	 190.344 	 1.24772e+48 	 7.82533e+18 	 3.1684e+14 	 339
2.40032e+06 	 17.3676 	 33.26 	 5.78307 	 4396.64 	 0.35392 	 189.958 	 1.24457e+48 	 7.83396e+18 	 3.12928e+14 	 340
2.41097e+06 	 17.5158 	 33.5432 	 5.74826 	 4382.51 	 0.348826 	 189.573 	 1.24142e+48 	 7.84302e+18 	 3.0905e+14 	 341
2.42153e+06 	 17.6646 	 34.2178 	 5.79099 	 4486.93 	 0.365511 	 188.106 	 1.26459e+48 	 7.3712e+18 	 3.2636e+14 	 342
2.43214e+06 	 17.815 	 34.5037 	 5.75567 	 4471.29 	 0.360043 	 187.735 	 1.26111e+48 	 7.38386e+18 	 3.22112e+14 	 343
2.44281e+06 	 17.9669 	 34.7917 	 5.7209 	 4456.28 	 0.354771 	 187.366 	 1.25783e+48 	 7.39529e+18 	 3.18021e+14 	 344
2.45345e+06 	 18.1198 	 35.2797 	 5.72333 	 4499.02 	 0.360033 	 186.47 	 1.26726e+48 	 7.18297e+18 	 3.24287e+14 	 345
