# Thermal Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 T_phot (K) 	 L_phot (erg/s) 	 R_phot (cm/c) 	 shell_index

22.3171 	 2.63008 	 7.72429e-05 	 3.87229e+07 	 2.14591e+47 	 19.687 	 263
22.468 	 2.64008 	 7.81667e-05 	 3.84781e+07 	 2.13235e+47 	 19.828 	 264
22.6203 	 2.65008 	 7.91039e-05 	 3.82343e+07 	 2.11884e+47 	 19.9703 	 265
22.774 	 2.66008 	 8.00547e-05 	 3.79915e+07 	 2.10538e+47 	 20.1139 	 266
22.9291 	 2.67008 	 8.10192e-05 	 3.77496e+07 	 2.09197e+47 	 20.259 	 267
23.0855 	 2.68008 	 8.19977e-05 	 3.75086e+07 	 2.07862e+47 	 20.4054 	 268
23.2434 	 2.69008 	 8.29904e-05 	 3.72687e+07 	 2.06533e+47 	 20.5533 	 269
23.4027 	 2.70008 	 8.39974e-05 	 3.70297e+07 	 2.05208e+47 	 20.7026 	 270
23.5634 	 2.71008 	 8.5019e-05 	 3.67917e+07 	 2.03889e+47 	 20.8533 	 271
23.7255 	 2.72009 	 8.60554e-05 	 3.65548e+07 	 2.02576e+47 	 21.0054 	 272
23.8891 	 2.73009 	 8.71069e-05 	 3.63188e+07 	 2.01268e+47 	 21.1591 	 273
24.0542 	 2.74009 	 8.81735e-05 	 3.60838e+07 	 1.99966e+47 	 21.3141 	 274
24.2208 	 2.75009 	 8.92557e-05 	 3.58498e+07 	 1.98669e+47 	 21.4707 	 275
24.3889 	 2.76009 	 9.03535e-05 	 3.56168e+07 	 1.97378e+47 	 21.6288 	 276
24.5584 	 2.77009 	 9.14672e-05 	 3.53849e+07 	 1.96093e+47 	 21.7883 	 277
24.7295 	 2.78009 	 9.25971e-05 	 3.51539e+07 	 1.94813e+47 	 21.9494 	 278
24.9022 	 2.79009 	 9.37433e-05 	 3.4924e+07 	 1.93539e+47 	 22.1121 	 279
25.0763 	 2.80009 	 9.49062e-05 	 3.46951e+07 	 1.92271e+47 	 22.2762 	 280
25.2521 	 2.8101 	 9.6086e-05 	 3.44673e+07 	 1.91008e+47 	 22.442 	 281
25.4294 	 2.8201 	 9.72828e-05 	 3.42405e+07 	 1.89751e+47 	 22.6093 	 282
25.6083 	 2.8301 	 9.84971e-05 	 3.40147e+07 	 1.885e+47 	 22.7782 	 283
25.7888 	 2.8401 	 9.9729e-05 	 3.379e+07 	 1.87254e+47 	 22.9487 	 284
25.9709 	 2.8501 	 0.000100979 	 3.35663e+07 	 1.86015e+47 	 23.1208 	 285
26.1546 	 2.8601 	 0.000102247 	 3.33436e+07 	 1.84781e+47 	 23.2945 	 286
26.34 	 2.8701 	 0.000103533 	 3.3122e+07 	 1.83553e+47 	 23.4699 	 287
26.5271 	 2.8801 	 0.000104838 	 3.29015e+07 	 1.82331e+47 	 23.647 	 288
26.7158 	 2.89011 	 0.000106162 	 3.2682e+07 	 1.81114e+47 	 23.8257 	 289
26.9063 	 2.90011 	 0.000107505 	 3.24636e+07 	 1.79904e+47 	 24.0062 	 290
27.0984 	 2.91011 	 0.000108868 	 3.22462e+07 	 1.78699e+47 	 24.1883 	 291
27.2922 	 2.92011 	 0.000110251 	 3.20299e+07 	 1.77501e+47 	 24.3721 	 292
27.4878 	 2.93011 	 0.000111653 	 3.18147e+07 	 1.76308e+47 	 24.5577 	 293
27.6852 	 2.94011 	 0.000113076 	 3.16005e+07 	 1.75121e+47 	 24.745 	 294
27.8843 	 2.95012 	 0.00011452 	 3.13874e+07 	 1.7394e+47 	 24.9341 	 295
28.0851 	 2.96012 	 0.000115985 	 3.11753e+07 	 1.72765e+47 	 25.125 	 296
28.2878 	 2.97012 	 0.000117471 	 3.09643e+07 	 1.71596e+47 	 25.3177 	 297
28.4923 	 2.98012 	 0.000118979 	 3.07544e+07 	 1.70432e+47 	 25.5122 	 298
28.6986 	 2.99012 	 0.000120509 	 3.05456e+07 	 1.69275e+47 	 25.7085 	 299
28.9068 	 3.00012 	 0.000122061 	 3.03378e+07 	 1.68123e+47 	 25.9067 	 300
29.1168 	 3.01012 	 0.000123636 	 3.01311e+07 	 1.66978e+47 	 26.1067 	 301
29.3287 	 3.02012 	 0.000125234 	 2.99254e+07 	 1.65838e+47 	 26.3086 	 302
29.5426 	 3.03013 	 0.000126855 	 2.97209e+07 	 1.64705e+47 	 26.5124 	 303
29.7583 	 3.04013 	 0.0001285 	 2.95174e+07 	 1.63577e+47 	 26.7182 	 304
29.9759 	 3.05013 	 0.000130169 	 2.93149e+07 	 1.62455e+47 	 26.9258 	 305
30.1955 	 3.06013 	 0.000131862 	 2.91136e+07 	 1.61339e+47 	 27.1354 	 306
30.4171 	 3.07013 	 0.00013358 	 2.89133e+07 	 1.60229e+47 	 27.347 	 307
30.6407 	 3.08014 	 0.000135323 	 2.8714e+07 	 1.59125e+47 	 27.5605 	 308
30.8662 	 3.09014 	 0.000137091 	 2.85159e+07 	 1.58027e+47 	 27.7761 	 309
31.0938 	 3.10014 	 0.000138886 	 2.83188e+07 	 1.56935e+47 	 27.9937 	 310
31.3234 	 3.11014 	 0.000140707 	 2.81228e+07 	 1.55848e+47 	 28.2133 	 311
31.5551 	 3.12014 	 0.000142554 	 2.79278e+07 	 1.54768e+47 	 28.4349 	 312
31.7888 	 3.13014 	 0.000144428 	 2.77339e+07 	 1.53693e+47 	 28.6587 	 313
32.0247 	 3.14014 	 0.00014633 	 2.75411e+07 	 1.52625e+47 	 28.8845 	 314
32.2626 	 3.15015 	 0.00014826 	 2.73493e+07 	 1.51562e+47 	 29.1125 	 315
32.5027 	 3.16015 	 0.000150218 	 2.71586e+07 	 1.50505e+47 	 29.3426 	 316
32.745 	 3.17015 	 0.000152205 	 2.69689e+07 	 1.49454e+47 	 29.5748 	 317
32.9894 	 3.18015 	 0.000154221 	 2.67803e+07 	 1.48409e+47 	 29.8092 	 318
33.236 	 3.19016 	 0.000156266 	 2.65928e+07 	 1.4737e+47 	 30.0458 	 319
33.4848 	 3.20016 	 0.000158342 	 2.64063e+07 	 1.46336e+47 	 30.2847 	 320
33.7359 	 3.21016 	 0.000160448 	 2.62209e+07 	 1.45309e+47 	 30.5257 	 321
33.9892 	 3.22016 	 0.000162585 	 2.60365e+07 	 1.44287e+47 	 30.769 	 322
34.2447 	 3.23016 	 0.000164754 	 2.58532e+07 	 1.43271e+47 	 31.0146 	 323
34.5026 	 3.24017 	 0.000166954 	 2.56709e+07 	 1.42261e+47 	 31.2624 	 324
34.7628 	 3.25017 	 0.000169187 	 2.54896e+07 	 1.41256e+47 	 31.5126 	 325
35.0253 	 3.26017 	 0.000171452 	 2.53094e+07 	 1.40258e+47 	 31.7651 	 326
35.2902 	 3.27017 	 0.000173751 	 2.51303e+07 	 1.39265e+47 	 32.02 	 327
35.5574 	 3.28017 	 0.000176084 	 2.49522e+07 	 1.38278e+47 	 32.2773 	 328
35.8271 	 3.29018 	 0.000178451 	 2.47751e+07 	 1.37297e+47 	 32.5369 	 329
36.0992 	 3.30018 	 0.000180853 	 2.4599e+07 	 1.36321e+47 	 32.799 	 330
36.3737 	 3.31018 	 0.000183291 	 2.4424e+07 	 1.35351e+47 	 33.0635 	 331
36.6507 	 3.32019 	 0.000185764 	 2.425e+07 	 1.34387e+47 	 33.3305 	 332
36.9302 	 3.33019 	 0.000188274 	 2.40771e+07 	 1.33428e+47 	 33.6 	 333
37.2122 	 3.34019 	 0.000190821 	 2.39052e+07 	 1.32476e+47 	 33.872 	 334
37.4967 	 3.35019 	 0.000193406 	 2.37342e+07 	 1.31528e+47 	 34.1465 	 335
37.7838 	 3.3602 	 0.000196029 	 2.35643e+07 	 1.30587e+47 	 34.4236 	 336
38.0735 	 3.3702 	 0.00019869 	 2.33955e+07 	 1.29651e+47 	 34.7033 	 337
38.3658 	 3.3802 	 0.000201391 	 2.32276e+07 	 1.28721e+47 	 34.9856 	 338
38.6607 	 3.39021 	 0.000204132 	 2.30607e+07 	 1.27796e+47 	 35.2705 	 339
38.9583 	 3.40021 	 0.000206914 	 2.28949e+07 	 1.26877e+47 	 35.5581 	 340
39.2585 	 3.41021 	 0.000209736 	 2.273e+07 	 1.25963e+47 	 35.8483 	 341
39.5615 	 3.42021 	 0.000212601 	 2.25662e+07 	 1.25055e+47 	 36.1413 	 342
39.8672 	 3.43021 	 0.000215508 	 2.24033e+07 	 1.24153e+47 	 36.437 	 343
40.1756 	 3.44022 	 0.000218457 	 2.22415e+07 	 1.23256e+47 	 36.7354 	 344
40.4869 	 3.45022 	 0.000221451 	 2.20806e+07 	 1.22364e+47 	 37.0367 	 345
40.8009 	 3.46022 	 0.000224489 	 2.19207e+07 	 1.21478e+47 	 37.3407 	 346
41.1178 	 3.47023 	 0.000227573 	 2.17618e+07 	 1.20598e+47 	 37.6476 	 347
41.4375 	 3.48023 	 0.000230701 	 2.16039e+07 	 1.19723e+47 	 37.9573 	 348
41.7601 	 3.49023 	 0.000233877 	 2.1447e+07 	 1.18853e+47 	 38.2699 	 349
42.0857 	 3.50024 	 0.0002371 	 2.1291e+07 	 1.17989e+47 	 38.5854 	 350
42.4141 	 3.51024 	 0.00024037 	 2.1136e+07 	 1.1713e+47 	 38.9039 	 351
42.7456 	 3.52024 	 0.000243689 	 2.0982e+07 	 1.16276e+47 	 39.2253 	 352
43.08 	 3.53025 	 0.000247058 	 2.08289e+07 	 1.15428e+47 	 39.5498 	 353
43.4175 	 3.54025 	 0.000250476 	 2.06768e+07 	 1.14585e+47 	 39.8772 	 354
43.758 	 3.55025 	 0.000253946 	 2.05257e+07 	 1.13747e+47 	 40.2077 	 355
44.1016 	 3.56026 	 0.000257467 	 2.03755e+07 	 1.12915e+47 	 40.5413 	 356
44.4482 	 3.57026 	 0.00026104 	 2.02262e+07 	 1.12088e+47 	 40.878 	 357
44.7981 	 3.58027 	 0.000264667 	 2.00779e+07 	 1.11266e+47 	 41.2178 	 358
45.1511 	 3.59027 	 0.000268348 	 1.99306e+07 	 1.1045e+47 	 41.5608 	 359
45.5073 	 3.60027 	 0.000272084 	 1.97842e+07 	 1.09638e+47 	 41.907 	 360
45.8667 	 3.61028 	 0.000275875 	 1.96387e+07 	 1.08832e+47 	 42.2564 	 361
46.2294 	 3.62028 	 0.000279724 	 1.94941e+07 	 1.08031e+47 	 42.6091 	 362
46.5953 	 3.63028 	 0.000283629 	 1.93505e+07 	 1.07235e+47 	 42.9651 	 363
46.9646 	 3.64029 	 0.000287593 	 1.92078e+07 	 1.06444e+47 	 43.3243 	 364
47.3373 	 3.65029 	 0.000291616 	 1.9066e+07 	 1.05658e+47 	 43.687 	 365
47.7133 	 3.6603 	 0.000295699 	 1.89251e+07 	 1.04878e+47 	 44.053 	 366
48.0927 	 3.6703 	 0.000299844 	 1.87852e+07 	 1.04102e+47 	 44.4224 	 367
48.4755 	 3.68031 	 0.00030405 	 1.86461e+07 	 1.03331e+47 	 44.7952 	 368
48.8619 	 3.69031 	 0.000308319 	 1.8508e+07 	 1.02566e+47 	 45.1716 	 369
49.2517 	 3.70031 	 0.000312652 	 1.83707e+07 	 1.01805e+47 	 45.5514 	 370
49.6451 	 3.71032 	 0.00031705 	 1.82344e+07 	 1.0105e+47 	 45.9348 	 371
50.0421 	 3.72032 	 0.000321514 	 1.80989e+07 	 1.00299e+47 	 46.3218 	 372
50.4426 	 3.73033 	 0.000326045 	 1.79643e+07 	 9.95532e+46 	 46.7123 	 373
50.8469 	 3.74033 	 0.000330644 	 1.78306e+07 	 9.88123e+46 	 47.1065 	 374
51.2547 	 3.75034 	 0.000335311 	 1.76978e+07 	 9.80763e+46 	 47.5044 	 375
51.6663 	 3.76034 	 0.000340049 	 1.75659e+07 	 9.73452e+46 	 47.906 	 376
52.0817 	 3.77034 	 0.000344858 	 1.74348e+07 	 9.66188e+46 	 48.3113 	 377
52.5008 	 3.78035 	 0.000349739 	 1.73046e+07 	 9.58973e+46 	 48.7204 	 378
52.9237 	 3.79036 	 0.000354693 	 1.71753e+07 	 9.51806e+46 	 49.1334 	 379
53.3505 	 3.80036 	 0.000359722 	 1.70468e+07 	 9.44686e+46 	 49.5502 	 380
53.7812 	 3.81036 	 0.000364826 	 1.69192e+07 	 9.37614e+46 	 49.9708 	 381
54.2158 	 3.82037 	 0.000370007 	 1.67924e+07 	 9.30589e+46 	 50.3954 	 382
54.6544 	 3.83038 	 0.000375266 	 1.66665e+07 	 9.2361e+46 	 50.824 	 383
55.0969 	 3.84038 	 0.000380604 	 1.65414e+07 	 9.16679e+46 	 51.2565 	 384
55.5435 	 3.85039 	 0.000386023 	 1.64172e+07 	 9.09794e+46 	 51.6931 	 385
55.9942 	 3.86039 	 0.000391523 	 1.62938e+07 	 9.02955e+46 	 52.1338 	 386
56.4489 	 3.8704 	 0.000397106 	 1.61712e+07 	 8.96162e+46 	 52.5785 	 387
56.9079 	 3.8804 	 0.000402773 	 1.60495e+07 	 8.89415e+46 	 53.0275 	 388
57.371 	 3.89041 	 0.000408525 	 1.59285e+07 	 8.82714e+46 	 53.4806 	 389
57.8383 	 3.90041 	 0.000414364 	 1.58084e+07 	 8.76058e+46 	 53.9379 	 390
58.31 	 3.91042 	 0.000420291 	 1.56891e+07 	 8.69447e+46 	 54.3995 	 391
58.7859 	 3.92043 	 0.000426308 	 1.55706e+07 	 8.6288e+46 	 54.8655 	 392
59.2662 	 3.93043 	 0.000432416 	 1.5453e+07 	 8.56359e+46 	 55.3357 	 393
59.7508 	 3.94044 	 0.000438615 	 1.53361e+07 	 8.49882e+46 	 55.8104 	 394
60.2399 	 3.95044 	 0.000444909 	 1.522e+07 	 8.43449e+46 	 56.2895 	 395
60.7335 	 3.96045 	 0.000451297 	 1.51047e+07 	 8.3706e+46 	 56.7731 	 396
61.2316 	 3.97046 	 0.000457782 	 1.49902e+07 	 8.30715e+46 	 57.2612 	 397
61.7343 	 3.98046 	 0.000464365 	 1.48765e+07 	 8.24413e+46 	 57.7538 	 398
62.2415 	 3.99047 	 0.000471048 	 1.47636e+07 	 8.18155e+46 	 58.251 	 399
62.7534 	 4.00048 	 0.000477831 	 1.46514e+07 	 8.11939e+46 	 58.7529 	 400
63.27 	 4.01048 	 0.000484718 	 1.454e+07 	 8.05767e+46 	 59.2595 	 401
63.7913 	 4.02049 	 0.000491708 	 1.44294e+07 	 7.99636e+46 	 59.7708 	 402
64.3174 	 4.0305 	 0.000498805 	 1.43196e+07 	 7.93549e+46 	 60.2869 	 403
64.8484 	 4.04051 	 0.000506009 	 1.42105e+07 	 7.87503e+46 	 60.8079 	 404
65.3842 	 4.05051 	 0.000513322 	 1.41021e+07 	 7.81499e+46 	 61.3336 	 405
65.9249 	 4.06052 	 0.000520746 	 1.39945e+07 	 7.75537e+46 	 61.8644 	 406
66.4706 	 4.07053 	 0.000528283 	 1.38877e+07 	 7.69617e+46 	 62.4 	 407
67.0212 	 4.08054 	 0.000535934 	 1.37816e+07 	 7.63737e+46 	 62.9407 	 408
67.577 	 4.09055 	 0.000543701 	 1.36762e+07 	 7.57899e+46 	 63.4864 	 409
68.1378 	 4.10055 	 0.000551586 	 1.35716e+07 	 7.52101e+46 	 64.0373 	 410
68.7038 	 4.11056 	 0.000559591 	 1.34677e+07 	 7.46344e+46 	 64.5933 	 411
69.275 	 4.12057 	 0.000567717 	 1.33646e+07 	 7.40627e+46 	 65.1544 	 412
69.8515 	 4.13058 	 0.000575967 	 1.32621e+07 	 7.3495e+46 	 65.7209 	 413
70.4332 	 4.14059 	 0.000584342 	 1.31604e+07 	 7.29313e+46 	 66.2926 	 414
71.0203 	 4.1506 	 0.000592845 	 1.30594e+07 	 7.23716e+46 	 66.8697 	 415
71.6128 	 4.1606 	 0.000601477 	 1.29591e+07 	 7.18158e+46 	 67.4522 	 416
72.2108 	 4.17061 	 0.00061024 	 1.28595e+07 	 7.12639e+46 	 68.0402 	 417
72.8142 	 4.18062 	 0.000619137 	 1.27606e+07 	 7.07159e+46 	 68.6336 	 418
73.4232 	 4.19063 	 0.000628169 	 1.26625e+07 	 7.01718e+46 	 69.2326 	 419
74.0379 	 4.20064 	 0.000637339 	 1.2565e+07 	 6.96315e+46 	 69.8372 	 420
74.6582 	 4.21065 	 0.000646648 	 1.24682e+07 	 6.90951e+46 	 70.4475 	 421
75.2842 	 4.22066 	 0.000656099 	 1.23721e+07 	 6.85624e+46 	 71.0635 	 422
75.9159 	 4.23067 	 0.000665695 	 1.22766e+07 	 6.80336e+46 	 71.6853 	 423
76.5535 	 4.24068 	 0.000675436 	 1.21819e+07 	 6.75085e+46 	 72.3129 	 424
77.197 	 4.25069 	 0.000685327 	 1.20878e+07 	 6.69871e+46 	 72.9463 	 425
77.8464 	 4.2607 	 0.000695368 	 1.19944e+07 	 6.64695e+46 	 73.5857 	 426
78.5018 	 4.27071 	 0.000705562 	 1.19016e+07 	 6.59555e+46 	 74.2311 	 427
79.1633 	 4.28072 	 0.000715912 	 1.18096e+07 	 6.54452e+46 	 74.8826 	 428
79.8309 	 4.29073 	 0.000726421 	 1.17181e+07 	 6.49386e+46 	 75.5401 	 429
80.5046 	 4.30074 	 0.000737089 	 1.16274e+07 	 6.44356e+46 	 76.2039 	 430
81.1846 	 4.31075 	 0.000747921 	 1.15373e+07 	 6.39362e+46 	 76.8738 	 431
81.8708 	 4.32076 	 0.000758919 	 1.14478e+07 	 6.34404e+46 	 77.55 	 432
82.5634 	 4.33077 	 0.000770084 	 1.1359e+07 	 6.29481e+46 	 78.2326 	 433
83.2624 	 4.34078 	 0.000781421 	 1.12708e+07 	 6.24594e+46 	 78.9216 	 434
83.9678 	 4.35079 	 0.00079293 	 1.11832e+07 	 6.19742e+46 	 79.617 	 435
84.6798 	 4.3608 	 0.000804616 	 1.10963e+07 	 6.14926e+46 	 80.319 	 436
85.3984 	 4.37082 	 0.000816481 	 1.101e+07 	 6.10143e+46 	 81.0275 	 437
86.1236 	 4.38083 	 0.000828528 	 1.09243e+07 	 6.05396e+46 	 81.7427 	 438
86.8555 	 4.39084 	 0.000840759 	 1.08393e+07 	 6.00683e+46 	 82.4646 	 439
87.5942 	 4.40086 	 0.000853178 	 1.07549e+07 	 5.96004e+46 	 83.1933 	 440
88.3397 	 4.41087 	 0.000865786 	 1.0671e+07 	 5.91358e+46 	 83.9289 	 441
89.0922 	 4.42088 	 0.000878589 	 1.05878e+07 	 5.86747e+46 	 84.6713 	 442
89.8516 	 4.43089 	 0.000891587 	 1.05052e+07 	 5.82169e+46 	 85.4207 	 443
90.6181 	 4.4409 	 0.000904785 	 1.04232e+07 	 5.77624e+46 	 86.1772 	 444
91.3917 	 4.45092 	 0.000918186 	 1.03418e+07 	 5.73113e+46 	 86.9407 	 445
92.1724 	 4.46093 	 0.000931792 	 1.0261e+07 	 5.68634e+46 	 87.7115 	 446
92.9604 	 4.47095 	 0.000945607 	 1.01808e+07 	 5.64188e+46 	 88.4894 	 447
93.7557 	 4.48096 	 0.000959635 	 1.01011e+07 	 5.59775e+46 	 89.2747 	 448
94.5584 	 4.49097 	 0.000973878 	 1.0022e+07 	 5.55394e+46 	 90.0674 	 449
95.3685 	 4.50099 	 0.00098834 	 9.94357e+06 	 5.51044e+46 	 90.8675 	 450
96.1862 	 4.511 	 0.00100302 	 9.86566e+06 	 5.46727e+46 	 91.6752 	 451
97.0114 	 4.52102 	 0.00101793 	 9.78833e+06 	 5.42441e+46 	 92.4904 	 452
97.8443 	 4.53104 	 0.00103307 	 9.71156e+06 	 5.38187e+46 	 93.3133 	 453
98.685 	 4.54105 	 0.00104845 	 9.63536e+06 	 5.33964e+46 	 94.1439 	 454
99.5335 	 4.55106 	 0.00106405 	 9.55972e+06 	 5.29772e+46 	 94.9824 	 455
100.39 	 4.56108 	 0.0010799 	 9.48463e+06 	 5.25611e+46 	 95.8287 	 456
101.254 	 4.5711 	 0.001096 	 9.4101e+06 	 5.21481e+46 	 96.683 	 457
102.127 	 4.58112 	 0.00111234 	 9.33612e+06 	 5.17381e+46 	 97.5454 	 458
103.007 	 4.59113 	 0.00112893 	 9.26268e+06 	 5.13311e+46 	 98.4159 	 459
103.896 	 4.60114 	 0.00114578 	 9.18978e+06 	 5.09272e+46 	 99.2945 	 460
104.793 	 4.61116 	 0.00116289 	 9.11743e+06 	 5.05262e+46 	 100.181 	 461
105.698 	 4.62118 	 0.00118026 	 9.04561e+06 	 5.01282e+46 	 101.077 	 462
106.612 	 4.6312 	 0.0011979 	 8.97432e+06 	 4.97331e+46 	 101.98 	 463
107.534 	 4.64121 	 0.00121581 	 8.90356e+06 	 4.9341e+46 	 102.893 	 464
108.465 	 4.65124 	 0.001234 	 8.83333e+06 	 4.89518e+46 	 103.813 	 465
109.404 	 4.66125 	 0.00125247 	 8.76362e+06 	 4.85655e+46 	 104.743 	 466
110.353 	 4.67127 	 0.00127122 	 8.69442e+06 	 4.8182e+46 	 105.681 	 467
111.31 	 4.68129 	 0.00129027 	 8.62575e+06 	 4.78014e+46 	 106.628 	 468
112.276 	 4.69131 	 0.0013096 	 8.55758e+06 	 4.74237e+46 	 107.584 	 469
113.251 	 4.70133 	 0.00132924 	 8.48992e+06 	 4.70487e+46 	 108.549 	 470
114.235 	 4.71135 	 0.00134918 	 8.42276e+06 	 4.66766e+46 	 109.523 	 471
115.228 	 4.72137 	 0.00136943 	 8.35611e+06 	 4.63072e+46 	 110.507 	 472
116.231 	 4.73139 	 0.00138999 	 8.28996e+06 	 4.59406e+46 	 111.499 	 473
117.243 	 4.74141 	 0.00141087 	 8.2243e+06 	 4.55767e+46 	 112.501 	 474
118.264 	 4.75143 	 0.00143208 	 8.15913e+06 	 4.52156e+46 	 113.513 	 475
119.295 	 4.76145 	 0.00145361 	 8.09445e+06 	 4.48571e+46 	 114.534 	 476
120.336 	 4.77148 	 0.00147547 	 8.03025e+06 	 4.45014e+46 	 115.564 	 477
121.386 	 4.78149 	 0.00149767 	 7.96654e+06 	 4.41483e+46 	 116.605 	 478
122.446 	 4.79152 	 0.00152022 	 7.9033e+06 	 4.37979e+46 	 117.655 	 479
123.516 	 4.80154 	 0.00154312 	 7.84054e+06 	 4.34501e+46 	 118.715 	 480
124.596 	 4.81157 	 0.00156637 	 7.77825e+06 	 4.31049e+46 	 119.785 	 481
125.686 	 4.82159 	 0.00158998 	 7.71644e+06 	 4.27623e+46 	 120.865 	 482
126.787 	 4.83161 	 0.00161396 	 7.65508e+06 	 4.24223e+46 	 121.955 	 483
127.897 	 4.84164 	 0.00163831 	 7.59419e+06 	 4.20848e+46 	 123.056 	 484
129.018 	 4.85167 	 0.00166303 	 7.53376e+06 	 4.175e+46 	 124.167 	 485
130.15 	 4.86169 	 0.00168814 	 7.47378e+06 	 4.14176e+46 	 125.288 	 486
131.292 	 4.87171 	 0.00171364 	 7.41426e+06 	 4.10877e+46 	 126.42 	 487
132.445 	 4.88174 	 0.00173954 	 7.35519e+06 	 4.07604e+46 	 127.563 	 488
133.609 	 4.89177 	 0.00176584 	 7.29656e+06 	 4.04355e+46 	 128.717 	 489
134.783 	 4.90179 	 0.00179255 	 7.23838e+06 	 4.01131e+46 	 129.881 	 490
135.969 	 4.91182 	 0.00181967 	 7.18064e+06 	 3.97931e+46 	 131.057 	 491
137.165 	 4.92184 	 0.00184721 	 7.12334e+06 	 3.94755e+46 	 132.244 	 492
138.373 	 4.93187 	 0.00187518 	 7.06647e+06 	 3.91604e+46 	 133.441 	 493
139.593 	 4.94191 	 0.00190359 	 7.01004e+06 	 3.88476e+46 	 134.651 	 494
140.823 	 4.95193 	 0.00193243 	 6.95403e+06 	 3.85373e+46 	 135.871 	 495
142.065 	 4.96196 	 0.00196173 	 6.89845e+06 	 3.82292e+46 	 137.103 	 496
143.319 	 4.97198 	 0.00199148 	 6.84329e+06 	 3.79236e+46 	 138.347 	 497
144.585 	 4.98203 	 0.0020217 	 6.78855e+06 	 3.76202e+46 	 139.603 	 498
145.862 	 4.99205 	 0.00205238 	 6.73423e+06 	 3.73192e+46 	 140.87 	 499
147.152 	 5.00209 	 0.00208354 	 6.68033e+06 	 3.70205e+46 	 142.15 	 500
148.454 	 5.01212 	 0.00211519 	 6.62683e+06 	 3.6724e+46 	 143.441 	 501
149.767 	 5.02214 	 0.00214733 	 6.57375e+06 	 3.64298e+46 	 144.745 	 502
151.094 	 5.03218 	 0.00217997 	 6.52106e+06 	 3.61379e+46 	 146.061 	 503
152.432 	 5.04221 	 0.00221312 	 6.46879e+06 	 3.58482e+46 	 147.39 	 504
153.783 	 5.05225 	 0.00224679 	 6.41691e+06 	 3.55607e+46 	 148.731 	 505
155.147 	 5.06229 	 0.00228098 	 6.36543e+06 	 3.52754e+46 	 150.085 	 506
156.524 	 5.07231 	 0.0023157 	 6.31434e+06 	 3.49923e+46 	 151.452 	 507
157.914 	 5.08235 	 0.00235097 	 6.26365e+06 	 3.47114e+46 	 152.832 	 508
159.317 	 5.09239 	 0.00238678 	 6.21334e+06 	 3.44326e+46 	 154.224 	 509
160.733 	 5.10242 	 0.00242316 	 6.16342e+06 	 3.41559e+46 	 155.63 	 510
162.162 	 5.11246 	 0.0024601 	 6.11389e+06 	 3.38814e+46 	 157.049 	 511
163.605 	 5.1225 	 0.00249761 	 6.06474e+06 	 3.36091e+46 	 158.482 	 512
165.06 	 5.13254 	 0.0025357 	 6.01598e+06 	 3.33389e+46 	 159.928 	 513
166.529 	 5.14258 	 0.00257436 	 5.96763e+06 	 3.30709e+46 	 161.386 	 514
168.009 	 5.15262 	 0.00261356 	 5.91972e+06 	 3.28054e+46 	 162.856 	 515
169.499 	 5.16266 	 0.00265326 	 5.87232e+06 	 3.25427e+46 	 164.336 	 516
170.995 	 5.1727 	 0.00269336 	 5.82552e+06 	 3.22834e+46 	 165.822 	 517
172.492 	 5.18274 	 0.00273376 	 5.77946e+06 	 3.20281e+46 	 167.31 	 518
173.985 	 5.19278 	 0.00277425 	 5.73431e+06 	 3.17779e+46 	 168.792 	 519
175.464 	 5.20282 	 0.00281462 	 5.6903e+06 	 3.1534e+46 	 170.262 	 520
176.92 	 5.21286 	 0.00285456 	 5.6477e+06 	 3.12979e+46 	 171.707 	 521
178.34 	 5.2229 	 0.00289372 	 5.6068e+06 	 3.10713e+46 	 173.117 	 522
179.709 	 5.23293 	 0.0029317 	 5.56795e+06 	 3.0856e+46 	 174.476 	 523
181.013 	 5.24297 	 0.00296803 	 5.5315e+06 	 3.0654e+46 	 175.77 	 524
182.235 	 5.25301 	 0.00300221 	 5.49782e+06 	 3.04673e+46 	 176.982 	 525
183.357 	 5.26303 	 0.00303372 	 5.46729e+06 	 3.02982e+46 	 178.094 	 526
184.362 	 5.27306 	 0.00306201 	 5.44029e+06 	 3.01485e+46 	 179.089 	 527
185.231 	 5.28308 	 0.00308653 	 5.4172e+06 	 3.00206e+46 	 179.948 	 528
185.948 	 5.29311 	 0.00310675 	 5.39836e+06 	 2.99162e+46 	 180.655 	 529
186.495 	 5.30312 	 0.00312217 	 5.38413e+06 	 2.98373e+46 	 181.192 	 530
186.858 	 5.31313 	 0.00313231 	 5.37483e+06 	 2.97858e+46 	 181.545 	 531
187.023 	 5.32314 	 0.00313677 	 5.37075e+06 	 2.97632e+46 	 181.7 	 532
186.978 	 5.33313 	 0.0031352 	 5.37218e+06 	 2.97711e+46 	 181.645 	 533
186.715 	 5.34312 	 0.00312734 	 5.37938e+06 	 2.9811e+46 	 181.372 	 534
186.226 	 5.35312 	 0.00311302 	 5.39257e+06 	 2.98841e+46 	 180.873 	 535
185.507 	 5.3631 	 0.00309213 	 5.41196e+06 	 2.99916e+46 	 180.144 	 536
184.556 	 5.37306 	 0.00306468 	 5.43776e+06 	 3.01345e+46 	 179.183 	 537
183.373 	 5.38303 	 0.00303076 	 5.47014e+06 	 3.03139e+46 	 177.99 	 538
